
variable,type,unit,description,notes
reduction_potential_ab2_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile reduction potential from efficient agricultural machinery (ab2),Monte Carlo Upper bound

oecd_TE_MEAN_tonnes,numeric,tonnes CO2e,OECD benchmark total emissions,Aggregated across matched OECD 2-digit NACE emission factors
oecd_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile OECD benchmark total emissions,Monte Carlo Lower bound
oecd_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile OECD benchmark total emissions,Monte Carlo Upper bound
oecd_s1_TE_MEAN_tonnes,numeric,tonnes CO2e,OECD benchmark Scope 1 emissions,Aggregated across matched OECD 2-digit NACE scope 1 emissions
oecd_s1_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile OECD benchmark Scope 1 emissions,Monte Carlo Lower bound
oecd_s1_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile OECD benchmark Scope 1 emissions,Monte Carlo Upper bound
oecd_s2_TE_MEAN_tonnes,numeric,tonnes CO2e,OECD benchmark Scope 2 emissions,Aggregated across matched OECD 2-digit NACE scope 2 emissions
oecd_s2_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile OECD benchmark Scope 2 emissions,Monte Carlo Lower bound
oecd_s2_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile OECD benchmark Scope 2 emissions,Monte Carlo Upper bound
oecd_s3_TE_MEAN_tonnes,numeric,tonnes CO2e,OECD benchmark Scope 3 emissions,Aggregated across matched OECD 2-digit NACE scope 3 emissions
oecd_s3_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile OECD benchmark Scope 3 emissions,Monte Carlo Lower bound
oecd_s3_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile OECD benchmark Scope 3 emissions,Monte Carlo Upper bound

epa_TE_MEAN_tonnes,numeric,tonnes CO2e,EPA benchmark total emissions,Aggregated across matched EPA EEIO-LCA commodity emission factors
epa_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile EPA benchmark total emissions,Monte Carlo Lower bound
epa_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile EPA benchmark total emissions,Monte Carlo Higher bound
epa_s1_TE_MEAN_tonnes,numeric,tonnes CO2e,EPA benchmark Scope 1 emissions,Aggregated across matched EPA EEIO-LCA commodity scope 1 emission factors
epa_s1_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile EPA benchmark Scope 1 emissions,Monte Carlo Lower bound
epa_s1_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile EPA benchmark Scope 1 emissions,Monte Carlo Higher bound
epa_s2_TE_MEAN_tonnes,numeric,tonnes CO2e,EPA benchmark Scope 2 emissions,Aggregated across matched EPA EEIO-LCA commodity scope 2 emission factors
epa_s2_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile EPA benchmark Scope 2 emissions,Monte Carlo Lower bound
epa_s2_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile EPA benchmark Scope 2 emissions,Monte Carlo Higher bound
epa_s3_TE_MEAN_tonnes,numeric,tonnes CO2e,EPA benchmark Scope 3 emissions,Aggregated across matched EPA EEIO-LCA commodity scope 3 emission factors
epa_s3_TE_p5_tonnes,numeric,tonnes CO2e,5th percentile EPA benchmark Scope 3 emissions,Monte Carlo Lower bound
epa_s3_TE_p95_tonnes,numeric,tonnes CO2e,95th percentile EPA benchmark Scope 3 emissions,Monte Carlo Higher bound

